Title,listing_url,service_level,accom_type,max_guest,no_bedroom,no_bed,no_bathroom,_3c0zz14,_3c0zz15,_3c0zz16,_3c0zz17,rating,no_review,price,_tt122m
Peaceful Studio Appartment with aircon shere pool,https://www.airbnb.com/rooms/20615420?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,SUPERHOST,Entire rental unit in Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.68,(95 reviews),$12,$60 total
Ceylon Villas 4 - NEW 1BR Villa! 5 mins to Ubud 🌴,https://www.airbnb.com/rooms/34161549?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,SUPERHOST,Entire villa in Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.91,(99 reviews),$119,$607 total
55%OFF|Romantic Escape In Ubud Paradise,https://www.airbnb.com/rooms/49263253?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,SUPERHOST,Entire villa in Gianyar,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.88,(8 reviews),$66,$331 total
Villacellabella Ubud Bali Private JungleRiverVilla,https://www.airbnb.com/rooms/27204972?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,SUPERHOST,"Entire villa in Ubud, Gianyar",2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,,4.88,(128 reviews),$537,"$2,766 total"
Contemporary 2 Bedroom Private Pool Villa Ubud,https://www.airbnb.com/rooms/38405088?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,SUPERHOST,Entire villa in Kecamatan Ubud,4 guests,2 bedrooms,2 beds,2 baths,Pool,Wifi,Air conditioning,,4.73,(22 reviews),$107,$486 total
Jungle luxe villa. Walk to Ubuds best bits.,https://www.airbnb.com/rooms/4695986?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,SUPERHOST,"Entire villa in Ubud , Gianyar",2 guests,1 bedroom,1 bed,2.5 baths,Pool,Wifi,Air conditioning,Kitchen,4.88,(271 reviews),$176,$880 total
Unique wooden house in Balinese Lumbung Style,https://www.airbnb.com/rooms/42480717?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,,Entire villa in Ubud,2 guests,1 bedroom,0 beds,1 bath,Wifi,Air conditioning,Kitchen,,5.0,(5 reviews),$30,$148 total
Artistic 2 Bedrooms House at Ubud,https://www.airbnb.com/rooms/52184071?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,SUPERHOST,Entire villa in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1.5 baths,Pool,Wifi,Air conditioning,Kitchen,,,$63,$317 total
2Br private Villa (Wiri’s House),https://www.airbnb.com/rooms/44124775?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,SUPERHOST,Entire villa in Kecamatan Ubud,4 guests,2 bedrooms,2 beds,2 baths,Pool,Wifi,Air conditioning,Kitchen,4.79,(19 reviews),$120,$600 total
Free Floating Breakfast + Infinity Pool Villa,https://www.airbnb.com/rooms/50314001?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,SUPERHOST,Entire villa in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,,,,$105,$526 total
Firefly Eco-Lodge-silver room,https://www.airbnb.com/rooms/7721938?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,SUPERHOST,Private room in Ubud,4 guests,1 bedroom,2 beds,1 private bath,Wifi,,,,4.62,(312 reviews),$41,$205 total
Chill in the Hanging Wicker Chair at a Secluded Jungle Villa,https://www.airbnb.com/rooms/plus/25144250?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,PLUS,Room in boutique hotel in Ubud,2 guests,1 private bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,Kitchen,4.91,(66 reviews),$120,$613 total
Cheerful 1-bedroom w rice field view and pool,https://www.airbnb.com/rooms/51883472?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,SUPERHOST,Private room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,Kitchen,,,$24,$120 total
Valley Villa with Private Pool @Amora Ubud,https://www.airbnb.com/rooms/46339770?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,SUPERHOST,Room in boutique hotel in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1.5 baths,Pool,Wifi,Air conditioning,,4.79,(29 reviews),$144,$720 total
Brand new modern styled room in Ubud,https://www.airbnb.com/rooms/51235216?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,,Private room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,,,,$56,$280 total
Tiny Tall Haus Ubud Getaway!,https://www.airbnb.com/rooms/39736517?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,SUPERHOST,Tiny house in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Kitchen,,4.86,(29 reviews),$60,$307 total
65% OFF|UmaGiri Hidden Luxury Villa Jungle view,https://www.airbnb.com/rooms/49179089?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,SUPERHOST,Private room in Ubud,2 guests,1 bedroom,1 private bath,,Pool,Wifi,Air conditioning,,5.0,(3 reviews),$81,$407 total
Secluded Stylish Private Villa to Escape The City,https://www.airbnb.com/rooms/41088416?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,SUPERHOST,Private room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,Kitchen,5.0,(7 reviews),$89,$371 total
Unique Home in Ubud's Quiet Ricefield Environment,https://www.airbnb.com/rooms/40955761?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,SUPERHOST,Hotel room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,,5.0,(20 reviews),$24,$120 total
Contemporary Suite Villa in Ubud,https://www.airbnb.com/rooms/40520491?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,SUPERHOST,Entire villa in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,,4.86,(14 reviews),$49,$223 total
Immerse Yourself In A Stylish & Unique Ubud Bungalow,https://www.airbnb.com/rooms/plus/29727904?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,PLUS,Entire villa in Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.96,(117 reviews),$80,$401 total
Garden Suite:Villacellabella Ubud Bali Instaworthy,https://www.airbnb.com/rooms/30881968?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,SUPERHOST,Private room in Ubud,2 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,Kitchen,4.85,(66 reviews),$250,"$1,328 total"
Amazing Night with Secret Waterfall Leke Leke,https://www.airbnb.com/rooms/39345279?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,,Dome house in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,,,,,4.20,(10 reviews),$68,$342 total
Refresh Private Joglo Cottage in Ubud Jungle Vibe,https://www.airbnb.com/rooms/49807382?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,,Entire cottage in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,5.0,(3 reviews),$35,$174 total
"Designer's Wooden Treehouse - Penestanan, Ubud",https://www.airbnb.com/rooms/50469057?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,SUPERHOST,Treehouse in Kecamatan Ubud,2 guests,1 bedroom,1 bath,,Wifi,Air conditioning,Kitchen,,,,$126,$635 total
Suites Room free Floating Breakfast at Ubud,https://www.airbnb.com/rooms/42079430?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,,Resort room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,,,,$42,$210 total
Brand New! Stylish 2 Bdr Jungle View Villa w/ Yoga Shala,https://www.airbnb.com/rooms/51220267?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,,Entire villa in Kecamatan Ubud,6 guests,2 bedrooms,2 beds,2 baths,Pool,Wifi,Air conditioning,Kitchen,5.0,(5 reviews),$295,"$1,476 total"
★★SKY EYE★★  Artist Loft floating Above The Jungle,https://www.airbnb.com/rooms/16942137?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=35001fe6-9904-4b84-8269-63226a8b89a7,,Private room in Ubud,3 guests,1 bedroom,1 bed,1 private bath,Wifi,Air conditioning,Kitchen,,4.87,(126 reviews),$88,$466 total
Brand New Cliff Side Jungle Villa,https://www.airbnb.com/rooms/38630845?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,SUPERHOST,Entire villa in Bali,6 guests,3 bedrooms,3 beds,3 baths,Pool,Wifi,Air conditioning,Kitchen,4.88,(67 reviews),$174,$517 total
Private Pool 1 BR & Jacuzzi in UBUD Area,https://www.airbnb.com/rooms/48129116?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,,Entire villa in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,,4.83,(18 reviews),$154,$770 total
Amora Cozy Romantic Villa Terrace,https://www.airbnb.com/rooms/49617631?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,SUPERHOST,Resort room in Kecamatan Tegallalang,2 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,,4.67,(3 reviews),$207,"$1,033 total"
A little Dream - Heart of Ubud,https://www.airbnb.com/rooms/12368974?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,SUPERHOST,Entire residential home in Ubud,4 guests,2 bedrooms,2 beds,2 baths,Pool,Wifi,Air conditioning,Kitchen,4.95,(138 reviews),$108,$539 total
Relax Vibes Bungalow in Expansive Garden near Downtown Ubud,https://www.airbnb.com/rooms/plus/29752799?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,PLUS,Entire bungalow in Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.93,(113 reviews),$80,$401 total
Sradha Joglo Villa - private pool in ubud,https://www.airbnb.com/rooms/7350519?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,SUPERHOST,Entire villa in Ubud,2 guests,1 bedroom,2 beds,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.94,(338 reviews),$41,$204 total
Ubud Peaceful Private Villa with Rice Field View,https://www.airbnb.com/rooms/32823396?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,SUPERHOST,Entire villa in Ubud,2 guests,1 bedroom,1 bed,1 bath,Wifi,Air conditioning,Kitchen,,4.98,(63 reviews),$73,$365 total
Uma-Ijo 2,https://www.airbnb.com/rooms/35748580?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,SUPERHOST,Entire villa in Ubud,4 guests,2 bedrooms,2 beds,2 baths,Pool,Wifi,Air conditioning,Kitchen,4.74,(31 reviews),$100,$502 total
Valley View private pool villa ubud,https://www.airbnb.com/rooms/45405005?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,,Entire villa in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,,4.90,(31 reviews),$76,$379 total
"Sakti Villas Ubud, An Intimate Resort - Frangipani",https://www.airbnb.com/rooms/13627278?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,SUPERHOST,Entire serviced apartment in Ubud,3 guests,1 bedroom,2 beds,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.80,(165 reviews),$24,$120 total
1br PRIVATE POOL w/RiceFields -7min to Ubud Center,https://www.airbnb.com/rooms/50382282?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,,Entire villa in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,,,$73,$364 total
Contemporary Ubud Tropical Staycation Villa,https://www.airbnb.com/rooms/38196480?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,SUPERHOST,Entire villa in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,,4.85,(27 reviews),$49,$223 total
Nara Homestay - 10 min Walk to Ubud Market,https://www.airbnb.com/rooms/46378953?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,SUPERHOST,Private room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1.5 baths,Wifi,Air conditioning,,,5.0,(8 reviews),$12,$60 total
Ubud Tropical Paradise - Villa Bambu Blue,https://www.airbnb.com/rooms/23581721?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,SUPERHOST,Entire villa in Ubud,6 guests,3 bedrooms,3 beds,3 baths,Pool,Wifi,Air conditioning,Kitchen,4.86,(143 reviews),$134,$671 total
Private getaway with idyllic rice field view,https://www.airbnb.com/rooms/45308319?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,SUPERHOST,Entire villa in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.92,(12 reviews),$68,$342 total
Tropical retreat in Ubud,https://www.airbnb.com/rooms/41400854?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,,Entire villa in Kecamatan Ubud,3 guests,2 bedrooms,2 beds,2 baths,Pool,Wifi,Air conditioning,Kitchen,4.67,(3 reviews),$48,$314 total
"AWAN SIANG, Ubud",https://www.airbnb.com/rooms/42363627?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,,Hut in Kecamatan Ubud,2 guests,Studio,1 bed,1 bath,,,,,4.92,(13 reviews),$39,$196 total
"Exclusive Villa, for Couples Looking To Relax",https://www.airbnb.com/rooms/40773716?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,SUPERHOST,Private room in Kecamatan Ubud,2 guests,1 bedroom,0 beds,1 private bath,Pool,Wifi,Air conditioning,,5.0,(9 reviews),$69,$371 total
New villa at the edge of rice field + free scooter,https://www.airbnb.com/rooms/33476506?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,SUPERHOST,Entire villa in Ubud,2 guests,Studio,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.99,(69 reviews),$84,$421 total
★★ARTIST APARTMENT★★ Panoramic Jungle View & River,https://www.airbnb.com/rooms/14306174?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=1dfc0237-5425-48bd-a76e-23eb5e5081cf,,Entire rental unit in Ubud,3 guests,1 bedroom,2 beds,1.5 baths,Wifi,Air conditioning,Kitchen,,4.74,(85 reviews),$45,$250 total
Royal Villa Private Kitchen & pool @Amora Ubud,https://www.airbnb.com/rooms/46802307?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,SUPERHOST,Entire villa in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1.5 baths,Pool,Wifi,Air conditioning,Kitchen,5.0,(10 reviews),$160,$800 total
Luxury Room Staycation in Bisma Ubud,https://www.airbnb.com/rooms/45166798?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,,Resort room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,,,,$33,$165 total
Wooden house w private kitchen and pool view,https://www.airbnb.com/rooms/51883150?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,SUPERHOST,Private room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,Kitchen,,,$17,$86 total
"Legendary house ""Eat Pray Love"" w/rice fields view",https://www.airbnb.com/rooms/29194789?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,,Entire residential home in Ubud,3 guests,2 bedrooms,2 beds,1 bath,Wifi,Air conditioning,Kitchen,,4.81,(64 reviews),$129,$671 total
Suite one bedroom with pool view and rice fields,https://www.airbnb.com/rooms/37422556?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,SUPERHOST,Private room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,Kitchen,4.92,(38 reviews),$40,$201 total
Stunning Room Near Ubud Market - Outdoor Pool!!,https://www.airbnb.com/rooms/40954082?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,SUPERHOST,Hotel room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,,4.86,(14 reviews),$23,$113 total
"Private, pool, lush garden, 7 min to Ubud, 3bd/3ba",https://www.airbnb.com/rooms/683244?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,,Entire villa in Ubud,6 guests,3 bedrooms,6 beds,3 baths,Pool,Wifi,Air conditioning,Kitchen,4.45,(64 reviews),$55,$305 total
Luxury Private Villa Middle Of Rice Fields 2BR,https://www.airbnb.com/rooms/21830924?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,SUPERHOST,Entire villa in Tegallalang,4 guests,2 bedrooms,2 beds,2 baths,Pool,Wifi,Air conditioning,,4.99,(140 reviews),$176,$880 total
